Sl. No.,States,Capacity(MW)
1,Andhra Pradesh,4534.19
2,Arunachal Pradesh,0
3,Assam,147.93
4,Bihar,192.88
5,Chhattisgarh,948.82
6,Goa,26.49
7,Gujarat,9254.56
8,Haryana,1029.16
9,Himachal Pradesh,87.49
10,Jammu & Kashmir,49.44
11,Jharkhand,105.84
12,Karnataka,8241.4
13,Kerala,761.43
14,Ladakh,7.8
15,Madhya Pradesh,2802.14
16,Maharashtra,4722.9
17,Manipur,0
18,Meghalaya,4.15
19,Mizoram,28.02
20,Nagaland,3.04
21,Odisha,453.17
22,Punjab,1167.26
23,Rajasthan,17055.7
24,Sikkim,4.69
25,Tamil Nadu,6736.43
26,Telangana,4666.03
27,Tripura,0
28,Uttar Pradesh,2515.22
29,Uttarakhand,575.53
30,West Bengal,179.97
31,Andaman & Nicobar,29.91
32,Chandigarh,58.69
33,Dadar & Nagar Haveli,5.46
34,Daman & Diu,41.01
35,Delhi,218.26
36,Lakshadweep,3.27
37,Pondicherry,35.53
38,Others,45.01
,Total,66780.34
